Year,Europe GDP ($B),India GDP ($B),China GDP ($B),Europe Pop (M),India Pop (M),China Pop (M),Europe GDP/Capita,India GDP/Capita,China GDP/Capita,Source
1 AD,14,33.75,26.82,34,75,59,411.76,450.00,454.58,Maddison (2001/2007)
1000 AD,18,33.75,26.55,40,75,60,450.00,450.00,442.50,Maddison (2001/2007)
1500 AD,78,60.5,61.8,78,110,103,1000.00,550.00,600.00,Maddison (2001/2007)
1600 AD,110,74.25,96,100,135,155,1100.00,550.00,619.35,Maddison (2001/2007)
1700 AD,155,90.75,82.8,120,165,140,1291.67,550.00,591.43,Maddison (2001/2007)
1820 AD,460,111.42,228.6,224,209,381,2053.57,533.11,600.00,Maddison (2001/2007)
1870 AD,1150,134.9,189.7,310,253,358,3709.68,533.20,529.89,Maddison (2001/2007)
1900 AD,2100,142,218,411,285,400,5109.49,498.25,545.00,Maddison (2001/2007)
1950 AD,4800,222,240,547,359,547,8775.14,618.38,438.76,Maddison (2001/2007)
2000 AD,11500,2310,4460,727,1050,1260,15819.81,2200.00,3539.68,Maddison (2001/2007)
